English/Hindi,Santali,IPA,Gloss
probability,sambhavna,səmbʱəʋnə,possibility
distribution,phela,pʰelɑː,spread
gaussian,normal phela,normːl pʰelɑː,normal-spread
label,naam,nɑːm,name/label
prediction,andaj,əndədʒ,guess
input,andar dena,ənɖər d̪enə,inside-give
output,bahar lena,bəɦɑːr lenə,outside-take
function,kaam,kɑːm,function/work
stochastic,aniyamit,əniːjəmɪt̪,irregular
optimization,sahi banana,səɦiː bənɑːnə,make-correct
convergence,milna,mɪlnə,meet/converge
architecture,banawat,bənəʋət̪,structure
preprocessing,pehle karna,peːɦleː kərnə,before-do
normalization,barabar karna,bərɑːbər kərnə,equalise
augmentation,badhana,bəd̪ʱɑːnə,increase
tokenization,tukda karna,t̪ʊkɖə kərnə,cut-piece
inference,janch karna,dʒɑːntʃ kərnə,examine-do
fine tuning,thoda sudharna,t̪ʰodɑː sʊd̪ʱərnə,little-fix
zero shot,bina sikhaye,bɪnə sɪkʰɑːjeː,without-learn
transfer learning,sikha le lena,sɪkʰɑː leː lenə,learning-take
real time,abhi waqt,əbʱɪ ʋəqt̪,now-time
latency,der,d̪eːr,delay
memory,yaad,jɑːd̪,remember
processor,karne wala,kərneː ʋɑːlə,do-agent
gpu,tez dimag,t̪eːz d̪ɪməɡ,fast-brain
cpu,dimag,d̪ɪməɡ,brain
